rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,4,80,0.15,3,0.4225219662524887,0.1499999082875028,0.12879516760355691,0.060409925827483946,0.005873441347237662,0.0023152615359159187,2.536837094265519,-0.002366288820844459,0.02383249268069898,0.0029309826311183507,0.0025438545074783934,1.1521817079168177,-0.003805205161232397
400,6,80,0.1,3,0.4591046379237651,0.10000161877175515,0.08034223181076697,0.040007598007299805,0.003924264930913246,0.0016249337662931859,2.4150306999068127,-0.0016596596053058323,0.016265761913887067,0.002006938574049988,0.001744639132535309,1.150345957867806,-0.0026351147191033325
400,6,20,0.2,3,0.3880800277196522,0.19999976194190716,0.1788939330090513,0.07910445503290209,0.00763004524257771,0.003043081804971663,2.507341481951636,-0.003430539019420152,0.030596870972990464,0.003751994764314537,0.0032639332577564916,1.1495317054655465,-0.004993580101855796
200,8,20,0.2,4,0.38888982473846223,0.20000099110996483,0.1771843688546874,0.07981086850767083,0.007695883732904862,0.00313249137831401,2.4567932688284015,-0.0033088675127507395,0.0311404094135741,0.0038177605759788236,0.0033243736043125673,1.1484150190057478,-0.004670101422570038
200,6,20,0.1,4,0.46277989440371126,0.09999980408454573,0.07849484083597981,0.03642506483896324,0.0035784528773739055,0.0017226602527194367,2.0772830113917506,-0.0021389481597197794,0.015493710047002951,0.0019123176873288017,0.0016653446156480304,1.1483014802823062,-0.002212069419913033
400,8,40,0.15,3,0.4265233048948448,0.14999978985089074,0.12895483619210985,0.05739635135964205,0.00558766991106352,0.002368840645782889,2.358820514588403,-0.002635748597815424,0.02352236928375362,0.00289322829215255,0.002519983918597323,1.148113791838395,-0.004025014448434363
200,4,40,0.2,3,0.38739420230615906,0.20000106814452265,0.17811934089502984,0.07721259667348845,0.007453530751487358,0.0029167839723611053,2.5553934820389888,-0.0032555861483563094,0.03057108113920748,0.003748873550691645,0.0032681513654972422,1.147092998895191,-0.005008986324308915
400,6,40,0.2,2,0.38708504874854943,0.1999992564385654,0.17648581604929406,0.08713338554465966,0.008376075714404019,0.0038252753788122155,2.1896660723560433,-0.003390902993727276,0.03236974640505519,0.003966393151147107,0.0034580595949493835,1.1469996517527237,-0.005127709495543071
200,6,40,0.15,3,0.4258574624433368,0.15000306412653033,0.12852337107776982,0.056345825090669655,0.0054878781895555395,0.0023060326987476274,2.3797920092529155,-0.002691431407130137,0.02307136845347668,0.0028383056906651216,0.002475132197090264,1.1467289278535506,-0.004113853174437002
200,8,40,0.15,4,0.42689517193061866,0.14999951784723403,0.12740787040848214,0.05693998624737873,0.005544329788427449,0.0023329468254357257,2.3765350019891396,-0.002618618940890208,0.023344953313809036,0.002871625214566631,0.002504362724310505,1.1466490802993563,-0.003780146003899525
